"order_id","customer_id","order_date","total_amount"
"1","3258","2024-08-28","1032.29"
"2","1290","2024-03-20","414.73"
"3","1303","2025-03-10","869.46"
"5","3192","2026-03-26","2216.25"
"6","3310","2026-01-17","2801.47"
"7","3819","2025-06-29","347.72"
"9","2076","2023-07-18","732.84"
"10","2521","2025-12-25","1494.34"
"11","1579","2023-07-30","412.5"
"12","3847","2025-02-27","2300.04"
"13","1508","2024-01-08","1315.4"
"14","4663","2024-09-07","812.56"
"15","2145","2024-11-21","617.42"
"16","3306","2023-06-22","1112.61"
"17","4381","2025-10-21","984.25"
"18","1033","2025-08-25","360.85"
"19","516","2024-08-15","805.87"
"20","4991","2024-03-20","1260.18"
"21","2650","2024-06-06","1913.7"
"22","3691","2026-03-22","1119.39"
"23","4483","2024-01-01","1098.37"
"24","3714","2023-04-30","768.92"
"25","485","2024-03-23","2191.03"
"26","1380","2023-09-04","2370.22"
"27","1034","2024-04-09","2057.61"
"28","2472","2023-09-07","2230.64"
"29","4368","2023-08-14","2140.67"
"30","774","2025-06-18","1939.2"
"31","2050","2025-03-13","2135.6"
"32","387","2026-03-16","844.69"
"33","903","2023-08-08","2632.65"
"34","3895","2024-01-27","2867.46"
"35","3554","2025-11-03","2510.29"
"36","811","2024-06-27","795.98"
"37","1830","2023-09-20","1034.56"
"38","4254","2025-08-07","982.06"
"39","4592","2026-02-11","1890.38"
"40","1597","2024-04-25","1598.73"
"43","2865","2025-11-05","580.87"
"44","2502","2023-04-15","645.52"
"45","3338","2023-12-14","2770.91"
"46","539","2024-02-13","113.08"
"47","2471","2025-01-24","1544.75"
"48","3063","2023-04-16","1595.17"
"49","3999","2025-07-09","2001.4"
"50","368","2025-09-18","2971.38"
"51","4969","2025-02-26","1200.93"
"52","529","2024-08-22","176.16"
"53","3957","2025-04-30","837.14"
"54","4615","2025-06-22","2121.32"
"55","3717","2025-08-25","580.28"
"57","858","2023-04-25","1188.93"
"58","3696","2023-10-07","1735.27"
"59","1583","2024-04-24","1787.22"
"60","1726","2025-04-25","1241.79"
"61","1454","2024-01-10","1654.1"
"62","3856","2024-09-09","2127.94"
"63","2647","2025-02-07","2129.3"
"64","4000","2025-01-21","1709.85"
"66","55","2023-09-28","2373.11"
"67","3497","2025-03-11","2445.03"
"69","3864","2024-05-01","2576"
"70","3099","2024-11-06","805.6"
"72","2028","2024-04-08","2622.59"
"73","572","2024-10-01","2764.02"
"76","2292","2026-03-11","1509.13"
"77","396","2024-03-06","2956.92"
"79","157","2024-12-15","1739.34"
"80","4925","2023-07-24","401.4"
"82","4819","2025-09-06","2206.5"
"83","367","2025-05-30","156.87"
"85","3717","2025-12-18","2360.36"
"86","2638","2023-08-24","2501.78"
"87","402","2025-01-06","1097.22"
"90","4149","2023-09-15","1700.67"
"93","3833","2025-03-04","2325.68"
"94","4816","2024-03-10","2092.35"
"95","1248","2025-03-17","2504.65"
"96","2803","2023-12-18","2390.76"
"97","3033","2024-02-14","856.85"
"101","2298","2023-05-31","450.4"
"102","4795","2025-10-28","1302.41"
"103","1534","2025-01-11","587.68"
"104","2588","2025-05-18","628.66"
"105","4819","2024-10-14","305.17"
"106","1277","2023-12-08","2900.71"
"107","4312","2025-11-29","2165.3"
"108","263","2024-06-24","2287.71"
"109","4263","2025-10-05","1223.82"
"111","3505","2023-10-15","2948.54"
"112","1774","2024-12-01","1220.54"
"115","2016","2024-09-23","201.29"
"116","723","2023-06-21","2300.25"
"118","541","2023-06-04","1373.25"
"119","1876","2024-07-25","334.71"
"120","2144","2024-10-04","2166.92"
"122","1605","2026-03-09","1414.55"
"125","2082","2023-08-09","1359.73"
"126","4749","2026-03-28","200.31"
"127","3034","2023-11-27","552.87"
"129","2890","2024-01-01","1045.92"
"130","1047","2024-07-12","1132.87"
"131","2506","2025-09-27","63.14"
"132","4044","2026-03-07","2773.26"
"133","3771","2026-03-08","2412.09"
"134","2534","2025-03-26","125.49"
"135","373","2024-01-11","2447.78"
"136","3585","2024-10-09","1342.81"
"137","1224","2025-04-08","2166.74"
"138","2555","2023-09-20","1494.12"
"140","2936","2023-11-07","779.7"
"141","22","2025-10-14","1923.92"
"143","4969","2024-03-02","2732.73"
"144","4908","2025-03-29","235.9"
"145","2046","2025-12-31","2126.16"
"146","472","2023-11-05","774.36"
"147","2391","2026-03-26","1546.04"
"148","2724","2026-02-13","1208.18"
"149","2042","2025-07-11","1466.43"
"150","580","2025-06-26","681.8"
"152","1653","2025-04-17","666.63"
"154","4325","2023-04-24","455.15"
"156","690","2024-12-16","1732.14"
"157","3056","2024-09-11","2851.83"
"158","3517","2023-07-21","1235.76"
"160","241","2024-03-22","323.88"
"161","2071","2023-12-23","1199.87"
"163","2128","2025-12-11","84.61"
"164","2186","2024-12-02","2629.85"
"165","4595","2024-02-25","2118.4"
"166","4045","2023-06-12","2169.57"
"168","2252","2025-06-21","226.79"
"169","3210","2025-12-01","245.15"
"170","4397","2025-11-12","2150.71"
"171","141","2024-10-31","2636.85"
"172","1774","2026-02-18","531.46"
"173","3334","2024-08-19","1536.56"
"174","3520","2025-06-13","2139.3"
"175","3254","2024-05-02","1984.96"
"177","4364","2025-11-08","363.85"
"178","1159","2024-02-21","2410.91"
"179","2275","2024-02-16","287.68"
"180","4042","2024-05-23","1077.76"
"183","2525","2024-09-10","611.6"
"184","3819","2024-11-03","201.64"
"186","4856","2023-05-17","2865.67"
"187","3453","2024-12-08","1187.26"
"188","2830","2023-06-16","2423.48"
"189","3690","2025-03-05","1267.23"
"190","879","2025-06-30","2217.38"
"191","2159","2026-02-20","865.72"
"193","2241","2025-12-31","613.92"
"194","679","2024-06-10","1284.44"
"196","1696","2025-02-28","1865.04"
"197","4351","2024-02-24","2758.92"
"198","3651","2025-02-25","2258.37"
"199","3233","2024-01-25","240.54"
"200","705","2023-08-24","2154.69"
"202","3394","2025-10-15","537.73"
"203","68","2026-01-26","399.39"
"204","4929","2025-11-02","1846.84"
"205","1608","2025-10-20","1101.17"
"206","3109","2024-08-06","1354.82"
"207","3384","2025-06-28","1106.51"
"208","2597","2023-08-20","2868.07"
"209","1787","2026-01-03","1934.43"
"210","3803","2024-06-23","287.62"
"211","2632","2024-09-01","729.37"
"212","4208","2024-08-25","1315.4"
"213","4222","2023-09-24","1382.06"
"214","1353","2024-10-06","2695.98"
"215","3203","2023-06-13","606.8"
"217","4732","2023-07-19","1960.73"
"218","4699","2024-07-25","1117.74"
"219","2440","2023-09-10","875.35"
"220","877","2024-03-16","2235.64"
"221","4041","2025-11-10","64.86"
"222","2084","2023-05-22","1504.43"
"223","937","2024-01-02","1230.34"
"224","4826","2024-09-17","1952.9"
"226","2215","2023-09-27","1404.31"
"227","197","2025-04-23","2796.83"
"228","2837","2024-08-06","2348.67"
"229","3501","2025-08-09","1839.11"
"230","3694","2026-01-18","669.47"
"231","1461","2024-02-10","2398.59"
"232","744","2025-09-19","823.79"
"233","108","2023-12-13","1424.9"
"234","4909","2024-04-09","2500.98"
"235","1947","2024-09-13","636.13"
"236","4692","2023-06-10","2666.12"
"237","3298","2024-09-19","2347.7"
"239","2386","2024-01-28","318.36"
"240","2185","2025-05-24","2000.73"
"241","3822","2023-10-02","1953.07"
"242","2959","2024-03-24","908.17"
"243","662","2024-02-18","315.56"
"244","1777","2023-05-10","636.86"
"245","2396","2024-09-17","1203.39"
"246","1375","2025-06-09","2209.92"
"247","374","2025-07-25","2743.21"
"248","1684","2025-12-13","1718.8"
"249","1957","2024-09-02","1080.56"
"251","3204","2024-11-29","761.52"
"252","3743","2023-07-08","93.32"
"254","552","2025-09-16","1778.54"
"255","4803","2024-12-21","1924.04"
"256","287","2025-12-12","2303.23"
"257","3651","2025-11-08","2093.18"
"258","4063","2025-11-09","1850.93"
"259","1453","2025-07-26","279.24"
"260","1367","2025-09-19","512.85"
"261","4268","2026-01-18","626.81"
"263","3936","2025-08-24","1189.04"
"264","1433","2026-03-01","2346.76"
"265","747","2025-06-23","971.41"
"266","4681","2025-11-24","2250.88"
"267","2107","2023-04-16","58.99"
"268","3249","2026-04-01","1220.84"
"269","2481","2024-02-27","245.68"
"270","1497","2025-06-19","2093.48"
"271","567","2023-09-28","223.95"
"272","658","2023-10-08","1804.34"
"273","2509","2025-08-25","2720.98"
"274","1858","2023-10-31","1500.95"
"276","928","2023-07-10","1703.73"
"277","3720","2025-04-23","973.69"
"278","424","2024-06-19","827.08"
"279","2419","2024-07-15","576.7"
"280","515","2024-07-03","418.11"
"281","2773","2024-02-29","2720.13"
"283","929","2025-08-14","2890.54"
"284","1413","2026-03-24","900.7"
"285","4329","2024-07-29","1804.98"
"286","896","2026-03-15","1685.84"
"287","2061","2024-06-10","2305.83"
"288","342","2025-11-06","2386.62"
"289","2013","2024-02-09","2556.98"
"291","2930","2025-11-27","776.09"
"292","771","2025-07-17","1241.72"
"293","1665","2023-07-10","1275.2"
"294","728","2025-08-13","1508.61"
"295","3770","2024-03-07","95.16"
"297","2683","2025-01-25","623.61"
"298","3456","2025-07-06","1425.36"
"299","87","2024-08-15","666.13"
"300","2781","2026-03-11","1453.7"
"301","1618","2024-12-28","727.63"
"302","1915","2024-04-30","744.14"
"303","4278","2024-12-05","1075.67"
"306","1290","2025-12-02","514.35"
"307","1943","2024-05-10","2229.38"
"308","1407","2026-03-05","271.52"
"310","4205","2024-01-09","2091.66"
"311","552","2025-11-16","247.73"
"312","3112","2024-07-28","1494.13"
"313","4934","2024-12-12","2564.78"
"315","1177","2025-01-15","1124.88"
"316","4408","2023-08-08","2203.71"
"317","3515","2025-08-01","277.76"
"318","3661","2026-02-17","1543.49"
"319","1873","2025-05-26","1652.13"
"320","3839","2025-11-05","944.31"
"321","1564","2025-02-28","2818.15"
"323","2650","2024-07-20","2122.09"
"325","2160","2024-07-11","1101.83"
"327","1164","2024-04-10","2765.22"
"328","1633","2024-10-01","537.82"
"329","4898","2025-05-25","725.31"
"330","2706","2023-07-23","1773.79"
"331","2883","2024-05-14","1936.5"
"332","4983","2025-03-15","1447.9"
"333","4713","2023-12-10","2137.77"
"335","3633","2025-01-05","2098.41"
"336","3324","2025-10-28","720.7"
"337","1547","2023-05-10","1122.4"
"338","4822","2023-11-11","2304.7"
"339","2844","2025-01-15","680.08"
"340","2902","2024-04-13","2608.72"
"342","3315","2025-02-08","1426.35"
"344","728","2026-01-04","2127.15"
"345","2682","2024-11-15","1283.08"
"346","3949","2026-02-26","1774.85"
"348","1366","2024-11-17","1362.22"
"349","2682","2024-09-27","529.41"
"350","846","2024-12-02","1733.2"
"352","88","2025-10-15","189.74"
"353","2887","2023-07-16","1799.62"
"354","4940","2026-03-24","949.64"
"356","765","2023-09-07","1729.97"
"357","1855","2024-07-01","876.37"
"358","3933","2024-04-02","2803.1"
"359","561","2025-11-30","2245.11"
"360","141","2024-09-13","2642"
"364","4661","2024-05-10","1901"
"365","149","2025-11-27","2472.02"
"366","4980","2025-09-18","2163.55"
"367","2111","2023-08-13","1455.2"
"368","1761","2023-11-13","1778.36"
"369","1086","2023-07-31","787.15"
"370","3409","2023-11-25","305.99"
"371","3537","2024-11-17","1317.43"
"373","4399","2023-11-08","2284.16"
"374","4172","2024-04-22","2470.58"
"375","4067","2024-10-14","2344.9"
"376","2325","2023-09-30","1532.89"
"377","4178","2025-07-22","1636.64"
"380","372","2023-10-01","1530.51"
"381","892","2025-01-15","763.59"
"382","1810","2023-09-20","406.87"
"383","3011","2024-10-04","1647.65"
"384","361","2025-09-29","2751.05"
"385","3636","2025-12-10","2011.75"
"386","3690","2024-06-11","1386.34"
"387","457","2024-10-15","1113.53"
"388","1262","2023-11-25","1730.78"
"389","675","2024-08-29","1824.77"
"390","4693","2025-06-21","959.65"
"391","1785","2026-01-19","1038.72"
"394","322","2024-05-31","1462.82"
"395","707","2025-12-24","2531.63"
"396","263","2024-11-17","836.16"
"397","4358","2023-09-08","2813.46"
"398","570","2026-01-15","970.6"
"399","1956","2025-02-08","1336.19"
"400","1469","2026-03-02","131.17"
"401","3850","2023-11-07","1091.88"
"404","4084","2026-01-06","460.16"
"405","4768","2023-08-14","1336.34"
"406","4364","2023-05-05","2711.31"
"407","573","2023-05-05","1637.74"
"408","1796","2023-04-13","2772.3"
"409","3896","2025-11-17","892.43"
"411","2589","2024-01-25","2156.65"
"412","3762","2025-12-07","2091.94"
"413","3474","2025-11-05","1167.99"
"415","2827","2024-06-26","2924.68"
"416","4572","2024-10-12","2424.49"
"417","103","2024-05-13","1269.59"
"418","1849","2024-01-28","2549.63"
"419","3773","2025-06-08","1543.64"
"421","1751","2025-01-20","2798.24"
"422","3423","2025-07-02","843.64"
"423","3860","2025-08-29","1875.22"
"424","1085","2025-02-23","211.2"
"425","1093","2024-12-30","1940.57"
"426","2841","2025-12-09","710.27"
"428","135","2024-09-21","2201.31"
"429","4641","2024-07-27","1501.46"
"430","3232","2025-11-26","1936.28"
"431","2980","2023-08-20","2277.53"
"432","456","2024-05-23","2119"
"433","1779","2023-07-10","995.41"
"434","3773","2024-03-11","177.92"
"435","2731","2025-01-25","2273.79"
"436","3014","2025-12-15","2295.76"
"438","3505","2023-04-14","2502.39"
"440","4275","2023-06-07","2955.95"
"441","77","2025-11-01","1002.3"
"442","149","2023-10-22","1670.05"
"443","128","2025-07-11","2810.2"
"444","4480","2024-11-04","2711.13"
"445","3319","2024-10-04","909.66"
"446","1087","2023-12-27","1468.57"
"448","4403","2024-01-19","2832.6"
"449","1665","2023-12-10","1969.68"
"450","1564","2023-07-11","886.84"
"451","2969","2025-11-26","336.13"
"452","2467","2023-06-18","1227.97"
"456","3511","2024-07-29","1020.79"
"457","4426","2024-10-08","2753.04"
"459","1196","2024-04-20","2909.48"
"460","2060","2023-07-20","1769.91"
"461","4802","2025-12-12","1598.33"
"462","3067","2026-02-14","2480.08"
"463","118","2024-04-03","2008.06"
"464","4202","2026-01-29","1559.78"
"465","4534","2024-07-26","1561.78"
"466","3586","2024-04-28","1633.21"
"467","3006","2024-09-02","1648.82"
"470","4118","2024-06-11","896.28"
"471","499","2025-11-14","251.37"
"472","1575","2025-10-04","986.13"
"473","222","2024-02-23","2183.61"
"474","4356","2024-06-09","1278.99"
"476","196","2025-02-26","1338.03"
"477","4916","2024-09-24","2079.14"
"480","4495","2023-10-04","2071.97"
"481","4136","2025-06-22","2234.3"
"482","497","2025-04-28","521.6"
"483","2931","2023-05-16","2233.24"
"484","1311","2023-11-22","1929.06"
"485","831","2024-07-05","755.25"
"486","793","2025-04-29","2126.51"
"487","4495","2025-06-16","2773.09"
"488","1811","2023-04-30","1089.73"
"489","1480","2023-12-31","2699.8"
"490","2229","2023-04-23","543.58"
"491","1769","2024-11-29","255.94"
"492","1879","2023-11-20","519.73"
"493","1264","2024-02-27","2087.87"
"494","3723","2024-01-21","2460.19"
"495","797","2025-04-19","1536.14"
"496","419","2025-06-18","441.95"
"497","4026","2026-03-05","1630.01"
"499","1209","2023-11-16","1760.54"
"500","4486","2023-06-07","811.38"
